Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2019,19006,Petrol,Automatic,928999.9999999999,Honda City V
2018,29635,Petrol,Automatic,994999.9999999999,Honda City i-VTEC
2015,105114,Petrol,Manual,568000.0,Honda City i
2015,101466,Diesel,Manual,565000.0,Honda City i
2016,52456,Diesel,Manual,560000.0,Honda Jazz 1.5
2014,75247,Diesel,Manual,650000.0,Honda City i
2017,88695,Petrol,Manual,748000.0,Honda WR-V i-VTEC
2019,30906,Petrol,Automatic,797000.0,Honda Amaze V
2021,17152,Petrol,Automatic,1198000.0,Honda City ZX
2017,32721,Petrol,Automatic,1014000.0,Honda City i-VTEC
2020,17934,Petrol,Automatic,1246000.0,Honda City ZX
2016,63548,Petrol,Manual,468000.0,Honda Jazz 1.2
2018,28200,Petrol,Automatic,919999.9999999999,Honda City ZX
2015,38411,Petrol,Manual,589000.0,Honda City i
2013,25025,Petrol,Manual,415000.00000000006,Honda Amaze S
2016,23199,Petrol,Automatic,685000.0,Honda Jazz 1.2
2017,58011,Petrol,Manual,728000.0,Honda City i
2020,30405,Petrol,Manual,650000.0,Honda Amaze S
2018,33826,Petrol,Manual,648000.0,Honda WR-V i-VTEC
2017,89861,Diesel,Manual,725000.0,Honda WR-V i-DTEC
2015,47091,Diesel,Manual,398000.0,Honda Jazz 1.5
2017,106401,Diesel,Manual,525000.0,Honda WR-V i-DTEC
2018,149091,Diesel,Manual,620000.0,Honda Amaze S
2015,92028,Petrol,Manual,578000.0,Honda City i
2014,94146,Diesel,Manual,455999.99999999994,Honda Amaze S
2014,98243,Diesel,Manual,562000.0,Honda City i
2014,80090,Petrol,Manual,580000.0,Honda City i
2014,112306,Diesel,Manual,520000.0,Honda City i
2017,49568,Petrol,Manual,650000.0,Honda City i
2021,5670,Petrol,Automatic,1239000.0,Honda City VX
2013,58176,Petrol,Manual,260000.0,Honda Brio S
2012,85367,Petrol,Manual,328000.0,Honda Brio S
2018,30346,Petrol,Manual,479000.0,Honda Brio 1.2
2019,68816,Diesel,Automatic,795000.0,Honda Amaze V
2017,89969,Petrol,Manual,755000.0,Honda City i
2015,74481,Petrol,Manual,575000.0,Honda City i
2016,72926,Petrol,Manual,509999.99999999994,Honda Jazz 1.2
2015,29597,Petrol,Manual,372000.0,Honda Brio S
2015,133745,Petrol,Automatic,440000.00000000006,Honda Amaze VX
2010,57825,Petrol,Manual,360000.0,Honda City V
2015,85949,Diesel,Manual,505000.0,Honda Amaze VX
2013,104980,Petrol,Manual,316000.0,Honda Brio S
2010,141081,Petrol,Manual,348000.0,Honda City V
2020,20942,Petrol,Manual,1296000.0,Honda City ZX
2020,12265,Petrol,Manual,1257000.0,Honda City ZX
2014,93298,Petrol,Manual,565000.0,Honda City i
2019,21582,Petrol,Automatic,750000.0,Honda Amaze V
2010,86258,Petrol,Manual,335000.0,Honda City V
2017,26536,Petrol,Manual,520000.0,Honda Brio 1.2
2018,81126,Diesel,Manual,578000.0,Honda Amaze E
2015,76547,Petrol,Automatic,734000.0,Honda City i
2015,76670,Diesel,Manual,436000.00000000006,Honda City i
2013,109350,Petrol,Manual,365000.0,Honda Amaze VX
2016,59796,Petrol,Manual,480000.0,Honda Amaze SX
2015,81506,CNG,Manual,421000.0,Honda Amaze S
2015,71561,Petrol,Manual,380000.0,Honda Amaze S
2014,57273,Petrol,Manual,568000.0,Honda City i
2014,91123,Diesel,Manual,434999.99999999994,Honda City i
2015,64967,Petrol,Manual,580000.0,Honda City i
2014,91828,Diesel,Manual,288000.0,Honda Amaze S
2014,79324,Diesel,Manual,299000.0,Honda Amaze S
2011,71025,Petrol,Manual,295000.0,Honda City S
2010,25952,Petrol,Automatic,299000.0,Honda City V
2016,22000,Petrol,Manual,800000.0,Honda City i
2014,131004,Diesel,Manual,479000.0,Honda City i
2017,22500,Petrol,Manual,875000.0,Honda City 1.5
2018,44000,Petrol,Automatic,940000.0,Honda City i-VTEC
2014,139841,Diesel,Manual,336000.0,Honda City i
2012,70000,Petrol,Manual,349000.0,Honda City VTEC
2016,68000,Petrol,Automatic,565000.0,Honda Jazz V
2008,80000,Petrol,Automatic,250000.0,Honda City 1.5
2013,48647,Diesel,Manual,320000.0,Honda Amaze S
2011,78474,Petrol,Manual,240000.0,Honda City 1.5
2016,35025,Petrol,Manual,750000.0,Honda City i
2010,72464,Petrol,Manual,250000.0,Honda City 1.5
2014,74083,Petrol,Manual,350000.0,Honda Amaze VX
2009,101867,Petrol,Automatic,389000.0,Honda Accord 2.4
2010,58000,Petrol,Automatic,333000.0,Honda Accord 2.4
2015,80000,Diesel,Manual,449000.0,Honda Mobilio S
2010,68418,Petrol,Manual,301000.0,Honda City 1.5
2011,39000,Petrol,Automatic,445000.0,Honda Accord 2.4
2013,57368,Petrol,Manual,190000.0,Honda Brio S
2013,70000,Diesel,Manual,350000.0,Honda Amaze E
2017,25025,Petrol,Manual,565000.0,Honda Jazz 1.2
2014,39529,Petrol,Manual,700000.0,Honda City i
2017,55000,Petrol,Manual,560000.0,Honda Jazz V
2019,48000,Petrol,Automatic,775000.0,Honda Amaze VX
2008,80000,Petrol,Manual,225000.0,Honda CR-V RVi
2009,59000,Petrol,Automatic,250000.0,Honda City 1.5
2017,29000,Petrol,Automatic,885000.0,Honda BR-V i-VTEC
2018,56400,Petrol,Automatic,894999.9999999999,Honda City i-VTEC
2019,38000,Petrol,Manual,890000.0,Honda City i-VTEC
2009,67000,Petrol,Manual,400000.0,Honda City 1.5
2008,120054,Petrol,Automatic,196000.0,Honda Civic 1.8
2017,43417,Petrol,Automatic,894999.9999999999,Honda City i-VTEC
2016,51453,Petrol,Manual,533000.0,Honda Jazz 1.2
2014,69900,Diesel,Manual,425000.0,Honda Amaze VX
2018,35000,Petrol,Automatic,891000.0,Honda City i-VTEC
2017,28383,Petrol,Manual,799000.0,Honda WR-V i-VTEC
2015,77381,Petrol,Manual,600000.0,Honda City i
2016,57571,Petrol,Manual,415000.00000000006,Honda Amaze S
2018,2264,Petrol,Manual,800000.0,Honda City i-VTEC
2017,38500,Petrol,Manual,800000.0,Honda Jazz V
2014,119799,Diesel,Manual,367000.0,Honda City i
2015,120000,Petrol,Automatic,550000.0,Honda City i
2021,16748,Petrol,Manual,814000.0,Honda WR-V SV
2017,28340,Petrol,Automatic,1099000.0,Honda City i-VTEC
2013,45487,Petrol,Manual,333000.0,Honda Brio S
2022,15501,Petrol,Manual,1038000.0000000001,Honda City V
2017,73003,Petrol,Manual,775000.0,Honda City i-VTEC
2017,35566,Petrol,Manual,645000.0,Honda Jazz 1.2
2019,20121,Petrol,Manual,614000.0,Honda Amaze S
2012,98000,Petrol,Automatic,400000.0,Honda City V
2016,56945,Petrol,Manual,370000.0,Honda Brio S
2019,33168,Petrol,Manual,699000.0,Honda Amaze V
2011,100553,Petrol,Automatic,355000.0,Honda City V
2009,81521,Petrol,Manual,196000.0,Honda City 1.5
2015,109450,Petrol,Manual,500000.0,Honda City i
2016,31480,Petrol,Automatic,699000.0,Honda Jazz 1.2
2013,65572,Petrol,Manual,313000.0,Honda Brio EX
2015,28714,Petrol,Manual,517000.0,Honda Jazz 1.2
2018,40217,Petrol,Manual,698000.0,Honda Amaze V
2010,73033,Petrol,Manual,399000.0,Honda City 1.5
2014,96246,Petrol,Manual,591000.0,Honda City i
2018,50000,Diesel,Manual,610000.0,Honda Amaze VX
2013,55456,Petrol,Manual,394000.0,Honda City V
2020,25114,Petrol,Manual,944999.9999999999,Honda City SV
2014,27961,Diesel,Manual,422000.0,Honda Amaze S
2017,42644,Petrol,Manual,436000.00000000006,Honda Amaze S
2020,13307,Petrol,Manual,679000.0,Honda Amaze VX
2013,36455,Petrol,Manual,445000.0,Honda Amaze S
2017,65269,Petrol,Automatic,690000.0,Honda Jazz 1.2
2017,25086,Petrol,Manual,568000.0,Honda Amaze S
2014,59320,Petrol,Manual,551000.0,Honda City i
2010,63000,Petrol,Manual,240000.0,Honda Jazz Select
2015,99398,Petrol,Manual,346000.0,Honda Brio S
2009,63000,Petrol,Manual,295000.0,Honda Accord 2.4
2018,72578,Petrol,Manual,614000.0,Honda Amaze S
2019,28000,Petrol,Manual,865000.0,Honda WR-V i-VTEC
2017,62405,Petrol,Manual,679000.0,Honda City i-VTEC
2017,75083,Petrol,Automatic,880000.0000000001,Honda City i-VTEC
